id,set,laterza,current
1,ang1,819.959,816.404
2,ang2,505.711,475.224
3,ippo,300.835,301.435
4,mlr1,931.624,936.775
5,mlr2,432.384,425.885
6,mto,516.023,513.117
7,plm10,2427.8,2429.825
8,plm11,880.854,879.577
9,pnt,308.93,310.498
10,sln1,1084.92,988.457
11,sln2,340.632,328.216
