shapefile-id,struct-id,struct-type,struct-perim,perim-class,struct-area,struct-area-perim,struct-open,access-length,compound-orient
7,57,compound,105.62276580164736,1,234.20943715318242,55.894955560438845,True,11.772721224889146,NW
7,58,compound,70.4139418714503,1,97.36346646128237,38.7194404662374,True,9.764683060933697,NW
7,59,compound,56.235622527159556,1,77.63742134690123,37.62406997434751,True,13.39509197632642,NW
7,60,compound,70.08186450292152,1,135.5582822662428,45.664756723466,True,15.01204274420181,NW
7,61,compound,44.611983687346516,1,47.44522034075838,27.43848711714992,True,9.627324995263118,NW
7,62,compound,105.32186550788974,1,249.5612093457859,60.04576176367265,True,15.891788837134845,W
7,63,compound,105.74506403226282,1,128.95270956583923,40.826712547733194,False,,
7,64,compound,74.62947755037659,1,99.34408481429361,39.39448483881838,True,11.214954792999707,N
7,65,compound,55.37851716776962,1,73.95934150025327,35.65770027050781,True,13.426621838770341,N
7,66,compound,131.46872884887208,1,440.9703489012597,85.05097922688229,True,28.33489467736564,NW
7,67,compound,103.20855804990569,1,258.40837695834637,61.602281706360884,True,15.19579691993937,W
7,68,compound,68.14924628724428,1,83.32986113463734,35.69725843115069,True,8.656840243016445,N
7,69,compound,108.76360912435639,1,149.45467593732283,44.36766238074802,False,,
7,70,compound,67.72946893425838,1,106.86229314904621,40.20045214255204,True,12.71626798592028,N
7,71,compound,60.236292670123234,1,67.5783800251721,30.541213186088093,True,7.607212798812085,NW
7,72,compound,69.94561048646727,1,82.36093646149901,33.95132593477523,True,7.103056485871627,NW
7,73,compound,76.34497020994598,1,151.5312923289797,47.66221769156487,True,15.49583917459211,NW
7,74,compound,40.10155507374734,1,36.28625373389649,24.148307147664873,True,8.98026953156239,SW
7,75,compound,69.48348559346167,1,135.03523589645368,46.84444273933487,True,16.231434890765186,N
7,76,compound,64.56274990004059,1,76.68523923842287,32.57350397256847,True,6.910071387464183,NW
7,77,compound,58.28426543316788,1,86.862508738982,38.3600804607539,True,14.455436480575969,NW
7,78,compound,69.6809164353972,1,154.24821850735756,49.865455036576705,True,18.631626659387734,N
7,79,compound,59.370021622813965,1,96.18333276612304,49.94067790726193,True,22.99025295871539,NW
7,80,compound,111.94593713078405,1,189.5606431947764,49.24053493352176,False,,
7,81,compound,121.3030294632675,1,262.7414214242505,61.00028381071011,True,6.624657370298399,W
7,82,compound,230.892292042982,2,924.9142848168991,108.54347615492968,False,,
7,83,compound,85.15296046184949,1,171.1714804876236,47.832934982462604,True,11.081651675340876,W
7,84,compound,122.44731642270503,1,464.519020373203,82.12493344102042,True,26.62737293708411,N
7,85,compound,103.02448831079003,1,351.51573150788965,76.67049902066995,True,29.609688681096806,NW
7,86,compound,88.68193482001064,1,193.58191002222102,50.42380097682863,True,11.423691978798512,NW
7,87,compound,48.91864057759659,1,56.965270731935526,27.4958425924383,True,6.234731625194109,W
7,88,compound,91.09794947208118,1,118.38332471540275,38.986355840431344,False,,
7,89,compound,110.19088647428815,1,364.3487606320582,74.10463898289797,True,25.579458351437808,NE
7,90,compound,77.61448873689213,1,179.16145216978194,51.6903846221165,True,17.2024169103619,NW
7,91,compound,95.62000360327357,1,0.0,0.0,False,,
7,92,compound,123.05346854015563,1,483.7330701076648,85.96920226480738,True,30.2387473266826,N
7,93,compound,94.07342316557863,1,279.5389472519957,75.07846963140355,True,32.24394450739245,N
7,94,compound,159.1312551559436,2,807.2256400445596,106.5380531483148,True,32.18540603807992,NW
7,95,compound,73.65654387078273,1,127.19916216127693,43.117464506087394,True,14.143753964609028,S
7,96,compound,59.770274950427954,1,98.3750501502713,40.898460314558356,True,16.00247301767696,W
7,97,compound,38.13725748643828,1,0.0,0.0,False,,
7,98,compound,60.41251459276417,1,78.83526359891823,33.732688415920016,True,10.79509907552275,SW
7,99,compound,87.90474501220939,1,204.44382935631538,52.97501250240891,True,14.481111105051648,W
7,100,compound,249.0054802952563,2,1354.502560995622,134.82321450139474,True,19.759195679439035,W
7,101,compound,120.5146168476544,1,421.6501725915973,77.52506255449042,True,23.84594051503453,NW
7,102,compound,198.20023945097202,2,1035.5443829416474,118.55933402975013,True,28.14755336130293,N
