shapefile-id,struct-id,struct-type,struct-perim,perim-class,struct-area,struct-area-perim,struct-open,access-length,compound-orient
4,27,compound,135.6538294526857,5,403.27915096103936,74.11158991570755,True,15.234105379271508,NW
4,28,compound,87.4237655806725,2,192.18385912156066,54.14928203256512,True,17.001406935424242,NW
4,29,compound,89.97827247691436,2,157.88479674897644,47.760725951834495,True,10.270175017448286,W
4,30,compound,92.41361574356696,3,170.657274140448,48.74752364831303,True,9.789306874462701,NW
4,31,compound,69.5418601706237,1,87.97549734009328,35.76631435654062,True,8.351088641473094,NW
4,32,compound,86.11370926865087,2,184.97697845716624,61.72297580547306,True,26.067128122785583,W
4,33,compound,102.34818178342108,3,185.38022123376624,51.80251297517114,True,7.78229932109113,NW
4,34,compound,100.29042282873104,3,195.4659749229477,55.62648275116224,True,14.960753934530022,NW
4,35,compound,107.65016779820483,4,263.36874760379465,62.72407387134373,True,16.748533037972255,NW
4,36,compound,96.94745236410238,3,234.09864000122585,58.22210167073025,True,16.576690777625924,W
4,37,compound,77.48219167480451,2,99.95645382184496,39.97414168180553,True,6.395218444694185,NW
4,38,compound,60.44933116776442,1,96.16933710806585,38.75342206498053,True,12.954981305053803,N
4,39,compound,133.6697898405396,4,513.1879022385006,85.19818569948158,True,23.7141089045148,NW
4,40,compound,89.49662535561453,2,168.37907685411326,48.33308613358124,True,10.471557596631975,NW
4,41,ditch,1143.2686834749034,6,37001.5373973849,746.7753528382274,,,
